GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),Winner(PlayerIdx)
170779156,Descent2e,6,GAME_OVER,93,0,3,32,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(10,6)","(1,16)",,,,"(6,15)",,,,"(3,9)","(4,6)","(5,15)","(11,5)",14,3,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-644495687,Descent2e,5,GAME_OVER,79,0,3,33,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(4,4)","(2,16)",,,,"(7,7)",,,,"(3,7)","(8,12)","(5,14)","(5,2)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
503021343,Descent2e,5,GAME_OVER,103,0,3,34,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(8,6)","(2,16)",,,,"(5,12)",,,,"(3,14)","(9,2)","(5,14)","(8,10)",5,4,7,2,2,,,,,7,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-1768275986,Descent2e,4,GAME_OVER,99,2,3,35,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(4,1)","(4,17)",,,,"(6,15)",,,,"(6,16)","(7,16)","(5,15)","(6,2)",8,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-1369972123,Descent2e,4,GAME_OVER,61,0,3,36,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(7,2)","(4,17)",,,,"(9,13)",,,,"(5,7)","(4,7)","(4,14)","(9,3)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
-361734871,Descent2e,4,GAME_OVER,89,0,3,37,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(6,5)","(1,15)",,,,"(3,7)",,,,"(4,8)","(5,14)","(2,7)","(6,3)",14,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
1529251068,Descent2e,20,GAME_OVER,269,0,3,38,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,timeout,"(10,4)","(4,14)",,,,"(7,14)",,,,"(6,3)","(7,3)","(7,4)","(11,4)",8,4,5,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,-1
-647388615,Descent2e,20,GAME_OVER,270,0,3,39,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,timeout,"(9,3)","(3,14)",,,,"(4,15)",,,,"(9,9)","(9,8)","(7,4)","(10,6)",12,4,3,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,-1
-1462871322,Descent2e,5,GAME_OVER,107,0,3,40,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(9,9)","(6,15)",,,,"(4,6)",,,,"(4,15)","(5,7)","(5,10)","(9,2)",8,4,7,2,2,,,,,7,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
140373667,Descent2e,5,GAME_OVER,94,0,3,41,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS,overlord,"(8,3)","(5,17)",,,,"(3,11)",,,,"(3,16)","(3,6)","(5,8)","(6,3)",14,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,0
