GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player-1,Actions Played Description,Player-0,Size-OSLA,Player-2,OSLA,Action Space Size,Actions Played
-641580326,Descent2e,2,ACTION_CHOSEN,98,4,3,2,,Ranged Attack by Goblin Archer minion on Leoric of the Book (Range: 2.0),Ranged Attack by 7843 on 7812,6,,Ranged Attack by 7843 on 7812,6,Ranged Attack by 7843 on 7812
-641580326,Descent2e,2,ACTION_CHOSEN,99,4,3,2,,End Turn,End Turn,6,,End Turn,6,End Turn
-641580326,Descent2e,2,ACTION_CHOSEN,100,5,3,2,,End Turn,End Turn,3,,End Turn,3,End Turn
-641580326,Descent2e,2,ACTION_CHOSEN,101,6,3,2,,End Turn,End Turn,3,,End Turn,3,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,102,0,3,2,Get Movement Points,Get Movement Points,,3,,Get Movement Points,3,Get Movement Points
-641580326,Descent2e,3,ACTION_CHOSEN,103,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,4,,Fatigue Movement Point,4,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,104,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,105,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,106,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,107,0,3,2,Rest,Rest,,4,,Rest,4,Rest
-641580326,Descent2e,3,ACTION_CHOSEN,108,0,3,2,End Turn,End Turn,,3,,End Turn,3,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,109,1,3,2,,Free Action: Restore +2 Health,,4,games.descent2e.actions.Restore@b021c1c3,games.descent2e.actions.Restore@b021c1c3,4,games.descent2e.actions.Restore@b021c1c3
-641580326,Descent2e,3,ACTION_CHOSEN,110,1,3,2,,Get Movement Points,,3,Get Movement Points,Get Movement Points,3,Get Movement Points
-641580326,Descent2e,3,ACTION_CHOSEN,111,1,3,2,,Spent 1 Stamina For 1 Movement Point,,3,Fatigue Movement Point,Fatigue Movement Point,3,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,112,1,3,2,,Spent 1 Stamina For 1 Movement Point,,5,Fatigue Movement Point,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,113,1,3,2,,Spent 1 Stamina For 1 Movement Point,,8,Fatigue Movement Point,Fatigue Movement Point,8,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,114,1,3,2,,Spent 1 Stamina For 1 Movement Point,,11,Fatigue Movement Point,Fatigue Movement Point,11,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,115,1,3,2,,Spent 1 Stamina For 1 Movement Point,,15,Fatigue Movement Point,Fatigue Movement Point,15,Fatigue Movement Point
-641580326,Descent2e,3,ACTION_CHOSEN,116,1,3,2,,Rest,,15,Rest,Rest,15,Rest
-641580326,Descent2e,3,ACTION_CHOSEN,117,1,3,2,,End Turn,,14,End Turn,End Turn,14,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,118,2,3,2,,Get Movement Points,Get Movement Points,2,,Get Movement Points,2,Get Movement Points
-641580326,Descent2e,3,ACTION_CHOSEN,119,2,3,2,,End Turn,End Turn,6,,End Turn,6,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,120,3,3,2,,End Turn,End Turn,2,,End Turn,2,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,121,4,3,2,,Get Movement Points,Get Movement Points,2,,Get Movement Points,2,Get Movement Points
-641580326,Descent2e,3,ACTION_CHOSEN,122,4,3,2,,End Turn,End Turn,7,,End Turn,7,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,123,5,3,2,,End Turn,End Turn,3,,End Turn,3,End Turn
-641580326,Descent2e,3,ACTION_CHOSEN,124,6,3,2,,End Turn,End Turn,3,,End Turn,3,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,125,0,3,2,Get Movement Points,Get Movement Points,,3,,Get Movement Points,3,Get Movement Points
-641580326,Descent2e,4,ACTION_CHOSEN,126,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,4,,Fatigue Movement Point,4,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,127,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,128,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,129,0,3,2,Fatigue Movement Point,Spent 1 Stamina For 1 Movement Point,,5,,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,130,0,3,2,Rest,Rest,,4,,Rest,4,Rest
-641580326,Descent2e,4,ACTION_CHOSEN,131,0,3,2,End Turn,End Turn,,3,,End Turn,3,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,132,1,3,2,,Get Movement Points,,3,Get Movement Points,Get Movement Points,3,Get Movement Points
-641580326,Descent2e,4,ACTION_CHOSEN,133,1,3,2,,Spent 1 Stamina For 1 Movement Point,,3,Fatigue Movement Point,Fatigue Movement Point,3,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,134,1,3,2,,Spent 1 Stamina For 1 Movement Point,,5,Fatigue Movement Point,Fatigue Movement Point,5,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,135,1,3,2,,Spent 1 Stamina For 1 Movement Point,,8,Fatigue Movement Point,Fatigue Movement Point,8,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,136,1,3,2,,Spent 1 Stamina For 1 Movement Point,,11,Fatigue Movement Point,Fatigue Movement Point,11,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,137,1,3,2,,Spent 1 Stamina For 1 Movement Point,,15,Fatigue Movement Point,Fatigue Movement Point,15,Fatigue Movement Point
-641580326,Descent2e,4,ACTION_CHOSEN,138,1,3,2,,Rest,,15,Rest,Rest,15,Rest
-641580326,Descent2e,4,ACTION_CHOSEN,139,1,3,2,,"Move: SW, S, SW, SW, SW, W, S, SW",,14,"Move by 7812 to (4,17)","Move by 7812 to (4,17)",14,"Move by 7812 to (4,17)"
-641580326,Descent2e,4,ACTION_CHOSEN,140,1,3,2,,End Turn,,1,End Turn,End Turn,1,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,141,2,3,2,,End Turn,End Turn,2,,End Turn,2,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,142,3,3,2,,Ranged Attack by Goblin Archer minion on Leoric of the Book (Range: 1.0),Ranged Attack by 7833 on 7812,3,,Ranged Attack by 7833 on 7812,3,Ranged Attack by 7833 on 7812
-641580326,Descent2e,4,ACTION_CHOSEN,143,3,3,2,,End Turn,End Turn,2,,End Turn,2,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,144,4,3,2,,End Turn,End Turn,2,,End Turn,2,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,145,5,3,2,,End Turn,End Turn,3,,End Turn,3,End Turn
-641580326,Descent2e,4,ACTION_CHOSEN,146,6,3,2,,Howl,Call Attribute Test by 7863 on 7799,3,,Call Attribute Test by 7863 on 7799,3,Call Attribute Test by 7863 on 7799
-641580326,Descent2e,4,ACTION_CHOSEN,147,6,3,2,,,,1,,,1,
-641580326,Descent2e,4,ACTION_CHOSEN,148,6,3,2,,End Turn,End Turn,2,,End Turn,2,End Turn
